0,Area name,Age 4 and under,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and over
E06000024,,11700,11600,11300,9500,10400,10700,12600,15000,15400,11000,13400,12700,14700,12500,9600,7900,6100,4200,2300
E06000025,,15900,15900,17600,15500,15600,15900,17400,20700,21300,14600,17300,15000,15700,13500,10600,8700,6100,3600,1900
E06000026,,15300,13600,17800,24300,18900,15400,15500,17700,17600,12900,16400,14000,15100,12200,9800,8100,6000,3600,2000
E06000027,,6700,7100,7600,6800,6700,6100,7100,8900,9500,6300,8800,8400,10200,8600,7000,5800,4400,3200,1900
E06000030,,14100,12400,12400,12900,15100,15200,16300,16900,16400,12300,13800,11600,11000,8500,6700,5600,4300,2600,1200
E06000031,,13900,11300,11500,12500,15000,14100,12900,13300,12700,11400,11000,9600,9400,6900,5800,5000,3800,2300,1100
E06000032,,16600,13200,13600,16600,18800,16100,14100,13800,13500,14200,11200,9300,8300,6500,6100,5000,3400,1900,900
E06000033,,11200,10200,10200,9800,11300,11600,12200,13100,12800,9500,10900,9700,10400,8500,6700,5800,4800,3200,1800
E06000034,,12000,9900,9900,9800,11200,11800,12200,12600,11500,10200,9500,8400,8700,6000,4700,3800,2900,1800,800
E06000035,,17200,16800,19000,19000,17600,17200,17300,19800,19700,16000,17200,14600,15500,11600,9100,7000,4900,2900,1500
E06000036,,8000,7100,7200,6300,7700,8400,8800,9400,9200,6700,7900,6300,5800,4200,3300,2800,2000,1200,600
E06000037,,10100,9900,9600,7300,8500,9300,11100,12600,12500,9000,11000,9500,9800,7400,5500,4300,3300,2100,1000
E06000038,,11900,8000,9800,14600,15100,15200,12200,11100,9900,8600,8300,6900,6400,4900,4200,3400,2700,1700,900
E06000039,,12800,9000,8600,9600,13400,14200,11600,10100,9000,10000,7600,6400,5200,3500,3100,2600,1900,1100,600
E06000040,,9400,8900,8300,7100,8800,9700,10600,11600,11200,8600,9400,8200,8700,6900,5500,4600,3500,2200,1200
E06000041,,10000,9700,9500,7400,8100,9800,11500,12500,12800,9600,11200,9200,9400,7300,5700,4600,3200,1900,1100
E06000042,,19900,15800,14700,14100,19600,21000,19500,19100,17900,16500,16000,14100,13200,8900,6600,4900,3600,2400,1200
E06000043,,15000,13400,18000,28100,23000,22000,21800,21900,20400,13300,15300,12600,12700,9500,7900,6700,5600,3800,2200
E06000044,,13500,10900,16000,22800,17000,13900,13400,14300,13800,11000,11900,9300,9800,7700,6200,5200,4000,2800,1500
E06000045,,15400,11600,17900,29400,21800,18600,15700,14600,14800,11800,12700,10800,10900,8600,6800,5900,4800,3100,1600
E06000046,,6400,8000,8200,6800,6700,6300,7300,9500,10000,6500,9300,9200,11000,9700,7400,6000,4700,3300,1800
E06000047,,28600,27900,33300,35200,30600,28100,30500,37500,39500,25700,35700,33000,35400,27900,23000,17900,12800,7300,3500
E06000049,,20200,21400,22100,18600,19000,19500,24100,28400,29800,19700,26100,23300,26400,21100,16900,13500,10200,6300,3300
E06000050,,18100,18700,20100,19500,18800,18100,21300,24700,25700,17400,22900,20600,22700,17800,15000,11700,8700,5200,2700
E06000051,,15700,17900,19000,16600,15600,15400,17800,22200,23600,15600,21000,20200,22300,19100,15200,11700,9000,5600,2800
E06000052,,27400,30000,31800,28400,26400,26700,30300,36600,38500,26100,36900,35500,42600,35200,26500,21400,16300,10200,5500
E06000053,,100,100,100,100,100,100,100,200,200,100,200,100,200,200,100,100,100,0,0
E06000054,,28400,29300,29200,24700,25500,25100,30400,36100,36800,27200,32700,28900,31200,25100,19900,16200,12300,7700,4200
E06000055,,10100,10000,10500,9600,10100,10400,10600,11800,11700,9400,10200,8900,9300,7000,5700,4900,3800,2300,1100
E06000056,,16000,15500,15300,13600,14500,15600,17900,20100,21100,15000,18200,15500,16300,12400,9500,7800,5400,3200,1500
E06000057,,16000,17700,18500,16200,16200,16100,17900,22100,24800,16300,24100,22200,24500,19100,15300,12200,8800,5200,2700
E06000058,,20900,18900,22500,27400,25500,25200,24100,26100,26600,17700,22800,20800,23700,19600,16200,14800,12600,8600,4900
E06000059,,17200,20500,21600,17400,15200,15800,19300,24400,27000,17600,25400,24400,29500,25200,20300,17300,13600,8800,4800
E06000060,,31800,32600,31200,26000,27600,29900,33900,39600,40500,30900,35500,30400,31200,24700,20000,16300,11900,7300,3900
E06000061,,21000,19500,19400,17000,19500,19600,22100,25000,24400,18900,20700,18900,20700,15800,11800,9200,6800,4400,2200
E06000062,,25000,22500,23100,22700,24100,24400,26700,28800,29200,22300,24800,21800,23700,17500,13000,10200,7700,4900,2600
E07000008,,6700,5000,10200,18100,13300,11400,8500,7700,7100,5100,5900,5400,5000,3800,3000,2700,2300,1700,1000
E07000009,,5500,4800,4600,4100,4900,5600,6100,6600,6500,5000,5500,4900,5500,4200,3300,2700,2100,1200,700
E07000010,,5200,5500,5600,5400,5600,5200,5700,6900,7000,4800,6200,6100,6600,5500,4600,3800,2900,1700,800
E07000011,,10100,10400,10300,9500,9800,10200,11600,13500,13600,9700,11800,10300,11400,8900,6600,4900,3600,2200,1200
E07000012,,9300,9100,8700,7100,8100,9400,10800,11700,11800,9100,10200,8900,9800,7500,5600,4600,3600,2200,1200
E07000026,,4900,5500,5800,4600,4800,4800,5400,7300,7400,4700,7000,6500,7600,5900,4900,3800,2800,1700,900
E07000027,,3700,4000,4500,4000,3900,3600,4200,5300,5400,3600,4700,4300,4800,4000,3300,2400,1700,1000,600
E07000028,,6100,5700,6600,6500,6700,6100,6700,7800,8100,5500,7800,6800,7200,5700,4700,3900,2900,1800,900
E07000029,,3700,3900,4200,3800,4000,3700,4200,5200,5800,3600,5300,4700,5200,4000,3400,2600,1800,1000,500
E07000030,,2400,2900,3000,2400,2300,2400,2900,4000,4200,2600,3900,3700,4300,3500,2800,2100,1700,1000,500
E07000031,,4500,5400,5800,4300,4600,4800,5500,7400,7900,4700,7600,7200,8800,7400,5800,4600,3800,2300,1200
E07000032,,6400,7200,7300,6200,6400,6500,8100,9700,9600,6400,8500,8000,9200,7200,5300,4200,3100,2000,1100
E07000033,,4300,4400,4700,4300,4600,4100,4900,6100,5900,4000,5200,4600,5000,4400,3200,2600,1900,1100,600
E07000034,,5800,6000,6500,5800,6100,5900,6800,7900,8100,5100,7200,6500,7000,5700,4500,3600,2800,1900,900
E07000035,,3100,4200,4000,3000,2700,2800,3900,5300,6000,3600,5400,5200,6100,4800,3700,3000,2200,1400,700
E07000036,,6500,6200,7000,6700,6400,6500,7400,9000,9100,5900,7500,6600,7200,6000,4700,3900,2800,1700,900
E07000037,,5000,5500,5800,5100,4600,4600,5600,7300,7700,4900,6800,6000,6400,4900,3700,2900,2200,1300,700
E07000038,,4800,5400,6000,5000,4800,4700,5900,7400,7600,4900,7200,6700,7700,6600,5100,3900,2800,1700,900
E07000039,,5700,6100,5900,4900,5400,6000,6700,7800,7600,5600,6200,5900,6200,4700,3400,2700,2000,1200,600
E07000040,,5800,7100,7300,5500,5200,5300,6600,8700,9200,6000,8700,8800,10900,9900,8300,7000,5900,4000,2300
E07000041,,6700,5300,9400,14200,9000,8100,7300,7600,7600,5500,6700,5900,6100,4800,4000,3400,3000,2000,1100
E07000042,,4500,4700,4700,3700,3900,3700,4500,5700,6000,4200,5400,5100,5800,4800,3700,2900,2300,1400,800
E07000043,,5000,5300,5600,4800,4600,4600,5100,6400,6900,4800,6400,6100,7200,6200,4800,3900,3000,1900,1100
E07000044,,3700,4600,4700,3600,3400,3200,4000,5500,6600,4000,6300,6200,7500,6000,4500,3700,2800,1800,1000
E07000045,,6000,7000,7200,5700,5400,5600,6600,8700,9700,6000,8700,8600,10000,8400,6400,5400,4300,3000,1600
E07000046,,3200,3500,3600,3000,2600,2900,3300,4300,4700,3100,4500,4600,5600,4700,3500,2800,2000,1300,700
E07000047,,2600,3100,3000,2400,2200,2400,2800,3600,4300,2700,3900,3800,4500,3800,2800,2200,1700,1100,700
E07000061,,5300,5400,6300,6100,6100,5700,5900,6600,6700,4900,6000,5500,6600,5400,4700,4200,3800,2600,1600
E07000062,,5600,5300,5800,5800,5600,5200,5700,6700,6800,4800,6100,5400,6100,4500,3400,2800,2200,1500,900
E07000063,,5100,5600,5600,4700,4600,4500,5500,6900,7500,5200,6700,6400,7200,6000,4900,4300,3500,2200,1300
E07000064,,4000,5100,5000,3600,3400,3200,4100,5700,6500,4100,6000,6000,8000,6700,5600,4800,4000,2800,1800
E07000065,,7500,9000,8800,6300,6200,6100,8000,10800,11800,8100,10600,9800,11600,9900,7600,6500,5000,3200,1900
E07000066,,11400,10900,11000,10100,10900,11600,11900,13200,13100,10700,11600,9700,10500,7900,6600,5700,4200,2400,1200
E07000067,,9500,8900,8700,8000,8400,8700,10000,11700,11400,8700,9700,9000,10000,7400,5600,4400,3500,2300,1300
E07000068,,3900,4600,4500,3600,3800,4200,4800,5600,6100,4100,5100,4400,4800,3700,3200,2800,2200,1500,700
E07000069,,4200,5200,5500,4700,4200,4100,5100,6300,6500,4400,5900,5600,7100,5800,4700,3700,2500,1500,800
E07000070,,10000,9700,10300,9900,10600,10500,11800,12800,12900,9500,11200,10000,11000,8200,6500,5400,4100,2500,1300
E07000071,,10600,9600,11700,13900,11900,11400,11600,12600,12200,9400,10500,9400,10800,8200,6200,5200,3900,2400,1300
E07000072,,7400,7200,7400,6700,6600,7500,8400,9600,9900,6800,8600,7600,8300,6400,5000,4300,3500,2200,1200
E07000073,,6000,4900,5000,4900,6000,5900,5700,6100,6000,4900,5400,4600,4100,3100,2800,2600,2100,1100,500
E07000074,,3000,3700,3600,2900,2500,2800,3700,4900,4800,3300,4600,4300,5100,4000,2900,2300,1600,900,600
E07000075,,4400,5100,5100,4100,3700,4200,5300,6600,6500,4400,5700,5300,6100,4900,4000,3300,2400,1400,700
E07000076,,6800,7700,8000,6700,5700,5600,6900,8700,9400,6500,8800,8700,11300,10200,8600,7200,5600,3700,2000
E07000077,,4600,5300,5000,3600,3600,4200,5100,6400,6700,4900,6000,5000,5300,4200,3100,2500,1900,1200,700
E07000078,,6500,6200,7600,9200,9300,8300,7700,8000,8200,5700,7100,6300,6400,5100,4300,3600,3000,2200,1200
E07000079,,3900,4700,4800,3800,3400,3500,4900,6200,6600,4100,6200,5800,6400,5300,4100,3500,2800,1800,1000
E07000080,,4100,4800,5500,4200,3600,3500,4700,6100,6400,4100,5900,5700,6400,5300,4100,3100,2200,1500,800
E07000081,,8200,7300,7900,8400,8700,8200,8200,9200,9200,7100,8000,6600,6600,5300,4200,3400,2700,1700,800
E07000082,,6100,6800,6900,5200,4900,5400,7200,8800,9000,6200,8300,7700,8300,6600,5100,4100,3100,2000,1000
E07000083,,4600,4700,4500,4100,4000,4400,5300,6300,6500,4300,5800,5300,5700,4800,4000,3100,2300,1500,800
E07000084,,11400,10400,9600,8900,11000,11400,12400,13700,13700,9900,11400,9500,10200,7700,5700,4600,3200,1900,1000
E07000085,,6200,7300,7300,5400,5100,5500,7000,8800,9600,6500,8800,7600,8200,6600,5200,4100,3200,2000,1100
E07000086,,7700,7400,7500,7300,7300,7800,8600,9400,9800,7000,8800,7600,8100,6000,5000,4000,3100,1800,1000
E07000087,,5600,6700,6700,5800,5400,5500,7000,8600,9000,5800,8100,7000,7800,6600,5200,4500,3400,2000,1100
E07000088,,5400,4900,5100,5000,5400,5000,5400,5900,6100,4700,5700,4600,5200,3900,3300,2900,2100,1300,700
E07000089,,5700,5800,5200,4300,4500,5300,7000,7400,7700,5700,6300,5400,5900,4700,3700,2800,2000,1200,600
E07000090,,6700,7200,7600,6800,6400,5900,6700,8400,8900,6400,8500,7500,8200,7000,5900,5100,4000,2300,1200
E07000091,,8600,9700,9700,8100,7500,7800,9700,11700,13200,8500,12100,11700,13900,11700,9700,8400,7000,4700,2700
E07000092,,6700,5400,6000,6700,7300,7500,7600,7500,7200,5600,5700,4600,4600,3500,2800,2000,1600,1000,600
E07000093,,6700,7100,7100,5700,5400,6000,7700,9000,9700,6600,8400,7300,8300,6600,5000,4000,2900,1800,1000
E07000094,,6600,7000,8100,7500,5600,6200,7500,8300,8900,6500,8000,6900,7700,6200,5000,4000,3300,2100,1200
E07000095,,6200,5900,5800,5600,5700,6100,6300,7400,7200,5600,6100,5000,5300,4300,3700,3100,2300,1200,600
E07000096,,9700,8900,8700,7900,8700,9400,10400,11100,11400,8400,10200,8700,8400,6300,5000,4600,3600,2300,1100
E07000098,,6700,6200,6100,5900,6100,6300,6900,7500,7900,6000,6700,5700,5800,4500,3500,3100,2600,1700,900
E07000099,,8000,7700,7400,6100,7600,8300,9400,9900,10200,7400,8500,7200,7800,6000,4900,4400,3100,2200,1200
E07000102,,5400,5700,5300,4400,4700,5400,6100,6700,7200,5200,6000,5100,5300,4000,3300,3000,2200,1400,800
E07000103,,6700,5300,5300,5700,8100,8100,7300,7000,6400,5400,5400,4400,4000,3100,2600,2200,1700,1000,600
E07000105,,7800,7800,7600,6200,6500,6500,7600,9500,9200,7400,7500,6700,7700,6200,4600,3700,2700,1800,900
E07000106,,7500,8400,13300,16200,8700,7300,7900,9500,9700,7500,8700,8400,9700,8000,6400,5200,4300,2900,1600
E07000107,,6800,5900,6000,6200,7100,7100,7100,7700,7300,6000,6100,5100,5100,3900,3200,2800,2100,1200,600
E07000108,,6300,6700,7000,5800,5900,5700,6300,7900,8400,5900,7800,7300,8200,6700,5200,4100,3300,2000,1200
E07000109,,6600,6500,6700,6500,6600,6400,6600,7700,7600,6300,6400,5600,5900,4600,3900,3400,2400,1300,700
E07000110,,9600,9400,9300,8600,9600,9600,10200,11900,11900,8800,10300,9200,10200,8000,6300,5000,3700,2300,1200
E07000111,,7000,7100,6900,5200,5200,6300,7400,8700,9100,6900,8000,7200,8200,6300,5000,4200,3300,1900,1000
E07000112,,6000,6300,6600,6200,5600,5600,6200,7700,7800,5600,7200,6600,8100,6400,5200,4100,3300,2100,1300
E07000113,,8700,8800,8700,7800,8200,7800,8500,10100,10500,8000,9000,8000,9200,7200,5500,4200,3100,1700,900
E07000114,,8100,8600,8600,7400,7300,6800,7300,8900,9300,7200,8500,8100,9600,7900,6400,5200,4300,2900,1700
E07000115,,7400,8200,8100,5800,5800,6600,8500,9800,9700,7700,8300,6900,7600,6100,5000,4000,2900,1600,900
E07000116,,7300,7700,7200,5600,6800,7000,8100,9200,9100,7000,7700,6400,7000,5500,4200,3500,2900,1800,1100
E07000117,,5800,5000,5500,5600,5800,5300,5400,6200,6100,5200,5800,5200,5800,4200,3400,2600,2000,1300,700
E07000118,,6200,6100,6100,6100,6200,6300,7700,8400,8400,6000,7400,6700,7700,5900,4400,3200,2200,1400,800
E07000119,,3600,4000,4100,3400,3600,3500,4200,5400,6000,3600,5500,4900,5700,5000,4100,3600,2900,1800,900
E07000120,,5400,5100,5300,5000,5300,5000,5300,6100,5800,5000,5100,4600,5100,4000,3100,2400,1800,1000,500
E07000121,,7200,7700,11300,13200,8000,7400,7600,9300,9600,6500,8700,7900,8700,7200,6100,4900,3700,2300,1200
E07000122,,6400,5400,5500,5700,6300,5700,5600,6100,6000,5500,5700,5300,6000,4300,3400,2700,2100,1300,600
E07000123,,9300,7900,10400,14100,10800,9300,9000,9700,9700,7900,8400,7200,7100,5300,4600,3900,2900,1700,800
E07000124,,2900,3800,3600,2700,2400,2400,3400,4500,4800,3100,4200,3800,4300,3500,2800,2200,1600,1000,500
E07000125,,4300,4100,4300,3900,3900,4000,4600,5400,5300,3900,4700,4400,4700,3400,2400,1900,1500,900,400
E07000126,,6300,6400,6500,6300,6300,6100,7400,8300,8600,5900,7300,6700,7500,5900,4800,3600,2700,1600,700
E07000127,,6000,6700,7700,7200,5400,5100,6700,8000,8500,5900,7700,6900,7900,6500,5300,4000,2700,1600,800
E07000128,,5000,5800,6600,5400,4900,4800,5500,7400,8000,5200,7500,7000,8200,7300,6500,5200,4000,2400,1100
E07000129,,5400,5600,5900,5000,5000,5100,6400,7500,7400,5300,6500,5600,6400,5000,4100,3300,2400,1400,700
E07000130,,9100,8900,12900,16100,10100,9300,10100,11800,11800,8300,10500,9700,10300,8100,6300,5200,4000,2400,1300
E07000131,,4700,5500,5200,3700,3700,4100,5600,7100,7300,5000,6200,5700,6100,4800,3600,2900,2100,1400,700
E07000132,,5800,6000,6000,5400,5800,5900,6800,8100,8300,5500,7300,7000,7900,6000,4500,3500,2800,1700,800
E07000133,,2800,3000,3000,2500,2500,2600,3000,4000,4300,2700,3600,3400,3700,2800,2100,1700,1300,900,400
E07000134,,5500,5600,5400,4700,4900,5100,6500,7600,7500,5400,6400,5900,6600,5200,3800,2900,2200,1400,700
E07000135,,2900,3400,5000,3500,3000,3000,3200,3900,4300,2800,3700,3200,3400,2800,2500,2300,1700,1000,500
E07000136,,3800,3500,3700,3900,4400,3900,3900,4300,4500,3200,4200,4100,4400,3700,3000,2400,1900,1100,500
E07000137,,6200,7200,7500,6400,5900,5500,6700,8600,9600,6000,9400,9600,12300,11200,8700,6700,4800,2700,1400
E07000138,,5500,4500,7700,11200,7900,6400,5600,5900,6200,4300,5400,4700,4900,3700,3000,2500,2100,1300,700
E07000139,,5500,6600,6300,5100,5300,5300,6600,8500,8700,5600,7300,6500,7900,6800,5600,4200,3100,1900,900
E07000140,,4500,5000,4900,4500,4700,4700,5300,6200,6600,4300,5800,5500,6600,5500,4800,3900,2900,1700,900
E07000141,,7400,8300,8100,6300,6800,7100,8400,10200,10600,7200,9600,8700,9700,7900,5900,4600,3600,2400,1200
E07000142,,4400,5400,5600,4100,3900,4000,4900,6600,7200,4500,6600,6200,7100,6000,4400,3500,2500,1400,800
E07000143,,7400,7400,7600,7300,7300,6800,7600,9000,9500,6400,8300,7900,9800,8100,6700,5400,4000,2500,1300
E07000144,,6100,7200,7100,5500,5300,6100,7700,9400,9800,6200,8600,8200,9700,7900,6500,5400,4100,2500,1300
E07000145,,5500,5600,6200,5900,5700,4900,5300,6500,6800,4900,6200,6100,7200,6100,4700,3900,3000,1800,900
E07000146,,8000,7900,8200,8100,8300,7400,8300,9900,10400,7300,9500,9200,11300,9700,8100,6600,5000,3000,1400
E07000147,,4300,5000,5400,4500,4300,3900,4600,6100,6800,4200,6900,7200,9200,8200,6600,5800,4400,2700,1500
E07000148,,8400,5800,8800,15300,12800,10500,9000,8600,7800,6300,6900,6400,6500,5000,4200,3700,3100,2100,1200
E07000149,,6800,7600,7300,5400,5700,6200,7600,9000,9400,6400,8500,8000,9600,7900,6200,5000,3800,2400,1100
E07000163,,2500,3300,3200,2400,2300,2300,3000,4000,4400,2700,4200,4000,4400,3700,2800,2400,1800,1200,600
E07000164,,4300,5100,5200,4400,4200,4000,4900,6400,7400,4500,6500,6100,6900,5700,4700,3600,2700,1600,800
E07000165,,8700,9400,9400,7400,8200,8400,9900,12200,12800,8700,11300,9900,10700,8700,7200,5900,4500,2900,1700
E07000166,,2900,2900,3500,4300,3500,2800,3000,3700,3700,2800,3300,3100,3500,2800,2200,1700,1200,700,400
E07000167,,2400,3000,3200,2200,2100,2100,2700,3700,4000,2500,3700,3700,4400,3600,2800,2300,1700,1000,500
E07000168,,5300,5700,6500,6300,5400,4700,5700,6900,8000,5100,7700,7500,8700,7200,6100,4800,3700,2300,1200
E07000169,,4900,4900,5000,4500,4300,4400,5500,6700,7100,4600,6300,5400,6000,4500,3200,2700,1900,1100,600
E07000170,,7400,7200,7300,7100,7100,7100,7900,9400,9400,6700,8000,7200,7600,6500,5000,3700,2500,1600,800
E07000171,,6100,6800,7100,6000,6000,5900,7100,8600,9100,5800,8000,7400,8100,6500,5000,4000,2900,1700,800
E07000172,,6200,5800,6500,6700,6600,6500,7300,8300,8500,5300,7500,6700,7500,5900,4800,3900,2800,1800,900
E07000173,,6500,6600,6800,6000,6200,6600,7300,8700,8800,6000,8000,7300,7800,6000,5100,4100,3000,1900,800
E07000174,,6400,5900,6500,6500,6800,6300,6500,7700,8200,5500,7300,6400,6500,5500,4200,3500,2600,1500,700
E07000175,,6300,6900,7000,6100,6000,5800,7200,8900,9000,6300,8100,7400,8200,6700,5300,4100,3000,1800,900
E07000176,,6400,6600,6600,6200,5300,6200,7400,8600,8900,6200,7800,7000,7400,6000,4600,3900,3000,1900,900
E07000177,,9800,8600,8400,7600,9600,9700,10100,11100,11100,8300,9300,8100,8400,6300,5200,4200,3100,1900,1000
E07000178,,9300,7100,12900,22600,17100,12900,9600,8900,8500,7400,7000,6100,5900,4600,3800,3100,2500,1700,1000
E07000179,,8200,8200,7700,6200,7200,7600,9200,10800,10800,7800,9400,8100,8700,7300,5800,4600,3400,2200,1200
E07000180,,7400,7400,7400,5900,7000,7300,7900,8900,9400,6700,8400,7400,8000,6300,5100,4200,3100,2000,1100
E07000181,,6400,6100,6000,5300,6000,6200,7000,8100,8400,5800,7200,6200,6900,5700,4400,3600,2800,1800,1000
E07000187,,5900,7000,7600,5400,5100,5100,6300,8200,8600,5900,7800,7200,8000,6200,4800,4000,3100,2100,1100
E07000188,,6300,6900,7100,6200,5700,5500,6300,8200,8900,6000,8100,7600,8500,6900,5500,4400,3400,2200,1100
E07000189,,8800,9400,9600,8500,8100,7900,9200,11200,11700,8400,10800,10500,12300,10100,7900,6500,5300,3300,1800
E07000192,,5900,5900,6200,5900,6100,5700,6700,7900,7800,5400,6400,5800,6100,5000,3900,2800,2100,1200,600
E07000193,,7000,6700,7200,6700,7200,6800,7300,8700,8800,6600,7800,6600,7000,5700,4600,3700,2700,1600,800
E07000194,,5300,5800,5900,5200,5000,5300,6300,7600,7800,5400,6800,6500,7500,6900,5100,3600,2500,1500,800
E07000195,,6300,7000,8500,9500,6900,6700,7600,8900,9200,6400,8200,7600,8400,6600,5400,4400,3200,1900,900
E07000196,,4900,6200,6700,6000,5000,4800,6400,8100,8800,5200,8100,7300,8200,7100,5700,4300,2900,1800,900
E07000197,,7000,7200,7900,8000,7100,7100,8200,10000,10100,6600,8900,8300,9200,7800,6100,4600,3400,2100,1200
E07000198,,4700,5400,5600,4800,4500,4600,5900,7600,7600,4800,6800,6700,7800,6400,5000,3900,2700,1600,900
E07000199,,5100,4800,4800,4700,5200,4800,5400,5900,5500,4500,5000,4900,5000,3700,2800,2000,1400,800,400
E07000200,,4500,5500,5100,4000,3800,4100,5200,6500,6700,4900,5900,5800,7000,5700,4300,3500,2700,1700,900
E07000202,,9300,7600,8600,9600,10900,10000,9100,9400,9000,7600,8200,7200,7100,5200,4400,3900,3200,2000,1100
E07000203,,5300,5900,5600,4500,4600,4800,5700,7100,7500,5400,6900,6400,7500,6000,4600,3600,2600,1700,900
E07000207,,9400,8300,7200,5100,6000,8400,10200,11000,11000,8600,9000,7400,7700,5800,4700,4000,3300,2300,1300
E07000208,,4600,4700,4700,4200,4000,4600,5400,5900,6000,4400,5000,4300,4800,3500,2900,2400,1900,1200,700
E07000209,,8100,7500,8900,11300,9300,9200,9800,9800,10100,7500,8800,7700,7900,6000,4900,4100,3200,2000,1200
E07000210,,4600,5300,5000,3600,3800,4300,5300,6500,7000,4700,6200,5500,5900,5000,3900,3500,2700,1700,1000
E07000211,,9200,8200,7700,7000,8100,9700,10100,10700,10900,8100,9100,7800,8500,6300,4900,4300,3400,2400,1400
E07000212,,4800,4100,5500,7000,4500,5100,5800,5800,6000,4100,5300,4400,4600,3700,2900,2800,2000,1400,700
E07000213,,6000,5200,5400,5200,5900,6600,6700,7400,7800,5200,6500,5400,5600,4500,4000,3300,2500,1500,800
E07000214,,5100,5500,5100,4200,4600,5100,6100,7100,7100,5200,6100,5200,5300,4300,3400,3000,2000,1200,600
E07000215,,4900,5400,5000,4000,3900,4600,5300,6400,6800,4700,5900,5200,5600,4500,3400,2800,2400,1400,900
E07000216,,7300,7700,7900,5100,5200,6400,8300,9300,9400,7300,8300,7300,8000,6700,5300,4600,3400,2400,1500
E07000217,,7300,5600,5300,5000,6800,7800,8100,7700,7400,6000,6500,5400,5500,4100,3300,2900,2300,1500,800
E07000218,,3300,3700,3700,3200,3300,3200,4000,4900,5000,3200,4500,4200,4500,3700,2800,2100,1500,900,400
E07000219,,7900,7400,7900,7500,8000,7800,8300,9300,9500,7000,8200,7600,8000,6700,5100,3900,2800,1600,800
E07000220,,6300,6100,6200,5200,6300,6300,6900,7600,7800,5600,6600,5600,6100,5400,4000,3100,2500,1500,800
